ScenarioName,DeviceID,DeviceName,Action,ElasticSearch Index,StartTime,TimeEnd,SequenceOrder,,,,,,,
Scenario1,,Kwikset Kevo Lock,Physical Lock - With Key,,03/19/18 08:50 AM,,,,,,,,,
Scenario1,,Kwikset Kevo Lock,Physical Unlock -- With Key,,,,,,,,,,,
Scenario1,,Kwikset Kevo Lock,Physical Unlock -- Without Key (Lock Pick),,,,,,,,,,,
Scenario1,,Kwikset Kevo Lock,Digital Lock -- With Key fob,,,,,,,,,,,
Scenario1,,Kwikset Kevo Lock,Digital Unlock -- With Key fob,,,,,,,,,,,
Scenario1,,Kwikset Kevo Lock,Digital Lock -- With ekey,,,,,,,,,,,
Scenario1,,Kwikset Kevo Lock,Digitial Unlock -- With ekey,,,,,,,,,,,
Scenario1,,August Smart Lock,Physical Lock -- With key,,,,,,,,,,,
Scenario1,,August Smart Lock,Physical Unlock -- With key,,,,,,,,,,,
Scenario1,,August Smart Lock,Digital Lock -- With application,,,,,,,,,,,
Scenario1,,August Smart Lock,Digital Unlock -- With application,,,,,,,,,,,
Scenario1,,Keypad Door Knob,Digital Unlock,,,,,,,,,,,
Scenario1,,Keypad Door Knob,Digital Lock,,,,,,,,,,,
Scenario1,,Amazon Alexa,"""Alexa, Turn on the light""",,,,,,,,,,,
Scenario1,,Amazon Alexa,"""Alexa, Turn off the light""",,,,,,,,,,,
Scenario1,,Google Home Mini,"""Hey Google, Play music""",,,,,,,,,,,
Scenario1,,Google Home Mini,"""Hey Google, volume at 33%""",,,,,,,,,,,
Scenario1,,Motion-Sensor Camera,[Trigger 30 entrances into home],,,,,,,,,,,
Scenario1,,Motion-Sensor Light,[Trigger 30 passes at 1 minute intervals],,,,,,,,,,,
Scenario1,,Motion-Sensor,[Trigger 30 passes at 1 minute intervals],,,,,,,,,,,
,,,,,,,,,,,,,,
,,Motion Sensor Camera,[Trigger sensor],motion-*,,,,,,,,,,
,,,Person Detection,persondetect-*,,,,,,,,,,
,,August Lock,Unlock Door -- with application,ifttt-*,,,,,,,,,,
,,Amazon Alexa,"""Alexa, Trigger on the Light""",ifttt-*,,,,,,,,,,
,,Google Home Mini,"""Hey Google, Play Music""",ifttt-*,,,,,,,,,,
,,Motion Sensor Light,[Trigger Sensor],domoticz-*,,,,,,,,,,
,,Motion Sensor,[Trigger Sensor],domoticz-*,,,,,,,,,,
,,Google Home Mini,Stop Music,ifttt-*,,,,,,,,,,
,,Amazon Alexa,"Alexa ""Trigger off the light""",ifttt-*,,,,,,,,,,
,,August Lock,Lock Door,ifttt-*,,,,,,,,,,
